datetime,price,diff,abs_diff,abs_diff_rolling
2021-04-23 00:05:00,51300.5,,,
2021-04-23 00:15:00,52113.0,812.5,812.5,
2021-04-23 00:20:00,51966.25,-146.75,146.75,
2021-04-23 00:30:00,52071.649999999994,105.39999999999418,105.39999999999418,
2021-04-23 00:55:00,51375.7,-695.9499999999971,695.9499999999971,
2021-04-23 01:05:00,51704.0,328.3000000000029,328.3000000000029,
2021-04-23 01:15:00,50861.95,-842.0500000000029,842.0500000000029,
2021-04-23 01:30:00,51464.5,602.5500000000029,602.5500000000029,
2021-04-23 01:50:00,49751.350000000006,-1713.1499999999942,1713.1499999999942,
2021-04-23 02:00:00,51367.95,1616.5999999999913,1616.5999999999913,
2021-04-23 02:25:00,48589.5,-2778.449999999997,2778.449999999997,
2021-04-23 02:30:00,49681.95,1092.449999999997,1092.449999999997,
2021-04-23 02:40:00,49295.5,-386.4499999999971,386.4499999999971,
2021-04-23 02:50:00,50198.9,903.4000000000015,903.4000000000015,
2021-04-23 03:00:00,49884.65,-314.25,314.25,
2021-04-23 03:00:00,50303.7,419.04999999999563,419.04999999999563,
2021-04-23 03:15:00,49657.15,-646.5499999999956,646.5499999999956,
2021-04-23 03:25:00,50017.15,360.0,360.0,
2021-04-23 03:30:00,49772.55,-244.59999999999854,244.59999999999854,
2021-04-23 03:40:00,50401.5,628.9499999999971,628.9499999999971,
2021-04-23 03:45:00,50168.25,-233.25,233.25,743.5324999999982
2021-04-23 04:00:00,50561.95,393.6999999999971,393.6999999999971,722.5924999999982
2021-04-23 04:10:00,49579.5,-982.4499999999971,982.4499999999971,764.377499999998
2021-04-23 04:20:00,49957.55,378.0500000000029,378.0500000000029,778.0099999999984
2021-04-23 04:25:00,49752.25,-205.3000000000029,205.3000000000029,753.4774999999987
2021-04-23 04:30:00,50018.05,265.8000000000029,265.8000000000029,750.3524999999987
2021-04-23 04:55:00,49080.8,-937.25,937.25,755.1124999999986
2021-04-23 05:00:00,49421.75,340.9499999999971,340.9499999999971,742.0324999999982
2021-04-23 05:15:00,48430.8,-990.9499999999971,990.9499999999971,705.9224999999984
2021-04-23 05:35:00,49677.850000000006,1247.050000000003,1247.050000000003,687.444999999999
2021-04-23 05:45:00,49456.9,-220.95000000000437,220.95000000000437,559.5699999999994
2021-04-23 05:50:00,49897.4,440.5,440.5,526.9724999999995
2021-04-23 06:05:00,49179.8,-717.5999999999985,717.5999999999985,543.5299999999995
2021-04-23 06:10:00,49519.6,339.79999999999563,339.79999999999563,515.3499999999992
2021-04-23 06:25:00,48650.899999999994,-868.7000000000044,868.7000000000044,543.0724999999995
2021-04-23 06:30:00,48959.75,308.8500000000058,308.8500000000058,537.5625
2021-04-23 06:35:00,48498.399999999994,-461.3500000000058,461.3500000000058,528.3025000000005
2021-04-23 06:45:00,49334.0,835.6000000000058,835.6000000000058,552.0825000000008
2021-04-23 06:50:00,48628.8,-705.1999999999971,705.1999999999971,575.1125000000008
2021-04-23 07:00:00,49172.899999999994,544.0999999999913,544.0999999999913,570.8700000000005
2021-04-23 07:05:00,48762.55,-410.34999999999127,410.34999999999127,579.725
2021-04-23 07:15:00,49466.05,703.5,703.5,595.2150000000001
2021-04-23 07:40:00,47996.05,-1470.0,1470.0,619.5925000000003
2021-04-23 07:35:00,48369.100000000006,373.0500000000029,373.0500000000029,619.3425000000003
2021-04-23 07:50:00,47656.35,-712.7500000000073,712.7500000000073,644.7150000000005
2021-04-23 08:00:00,48274.25,617.9000000000015,617.9000000000015,662.3200000000004
2021-04-23 08:10:00,47537.4,-736.8499999999985,736.8499999999985,652.3000000000004
2021-04-23 08:20:00,48314.1,776.6999999999971,776.6999999999971,674.0875000000003
2021-04-23 08:20:00,47869.1,-445.0,445.0,646.7900000000005
2021-04-23 08:35:00,48592.850000000006,723.7500000000073,723.7500000000073,620.6250000000007
2021-04-23 08:45:00,48124.3,-468.5500000000029,468.5500000000029,633.0050000000007
2021-04-23 08:55:00,48802.600000000006,678.3000000000029,678.3000000000029,644.8950000000008
2021-04-23 09:05:00,48428.8,-373.8000000000029,373.8000000000029,627.7050000000011
2021-04-23 09:10:00,48770.45,341.6499999999942,341.6499999999942,627.7975000000009
2021-04-23 09:20:00,48197.600000000006,-572.8499999999913,572.8499999999913,613.0050000000003
2021-04-23 09:30:00,48557.100000000006,359.5,359.5,615.5375
2021-04-23 09:40:00,47892.0,-665.1000000000058,665.1000000000058,625.725
2021-04-23 09:50:00,48486.3,594.3000000000029,594.3000000000029,613.6599999999999
2021-04-23 09:55:00,48073.6,-412.70000000000437,412.70000000000437,599.0350000000002
2021-04-23 10:20:00,49501.100000000006,1427.5000000000073,1427.5000000000073,643.2050000000011
2021-04-23 10:25:00,49165.2,-335.90000000000873,335.90000000000873,639.4825000000019
2021-04-23 10:40:00,49681.95,516.75,516.75,630.1450000000019
2021-04-23 10:50:00,49288.35,-393.59999999999854,393.59999999999854,576.3250000000019
2021-04-23 10:55:00,49550.4,262.0500000000029,262.0500000000029,570.7750000000018
2021-04-23 11:00:00,49344.55,-205.84999999999854,205.84999999999854,545.4300000000014
2021-04-23 11:25:00,49951.55,607.0,607.0,544.8850000000014
2021-04-23 11:25:00,49765.8,-185.75,185.75,517.3300000000014
2021-04-23 11:40:00,50298.65,532.8499999999985,532.8499999999985,505.13750000000147
2021-04-23 11:45:00,49791.0,-507.65000000000146,507.65000000000146,508.2700000000015
2021-04-23 12:00:00,50331.9,540.9000000000015,540.9000000000015,499.12750000000125
